ID,Document,Metadata
bay_ir_2025.pdf::chunk::54,"販売費及び一般管理費 17,048 19,845 16.4
EBITDA 35,312 43,489 23.2
EBITDAマージン(％) 37.6％ 37.5％ ―
営業利益 34,219 42,615 24.5
税引前利益 34,160 42,546 24.5
当期利益 25,382 30,760 21.2
(注) 百万円未満は四捨五入して記載しております。
当連結会計年度の売上収益は、116,056百万円となり、前事業年度に比べ22,147百万円増加しました。これは
主に、DX等に関連する案件の増加によるものです。当連結会計年度の販売費及び一般管理費は、19,845百万円
となり、前事業年度に比べ2,797百万円増加しました。これは主に、人件費によるものです。この結果、当連結
会計年度の営業利益は、42,615百万円となり、前事業年度に比べ8,396百万円増加しました。
当連結会計年度の金融費用は、69百万円となり、前事業年度に比べ10百万円増加しました。この結果、当連
結会計年度の税引前利益は、42,546百万円となり、前事業年度に比べ8,386百万円増加しました。当連結会計年","{'source': 'bay_ir_2025.pdf', 'chunk_index': 54}"
bay_ir_2025.pdf::chunk::55,"度の法人所得税費用は11,786百万円となり、前事業年度に比べ3,008百万円増加しました。この結果、当連結会
計年度の親会社の所有者に帰属する当期利益は、30,760百万円となり、前事業年度に比べ5,378百万円増加しま
した。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 55}"
bay_ir_2025.pdf::chunk::56,"20/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(参考情報)
当社グループは、投資家が会計基準の差異にとらわれることなく、当社グループの業績評価を行い、当社グ
ループの企業価値についての純粋な成長を把握するうえで有用な情報を提供することを目的として、EBITDAを
経営成績に関する参考指標としております。なお、当該EBITDA及び算出方法は以下のとおりであります。
EBITDA：
営業利益＋減価償却費及び償却費(使用権資産に係る減価償却費を除く。)±その他調整
(単位：百万円)
回次 2024年２月期 2025年２月期
自 2023年３月１日 自 2024年３月１日
会計期間
至 2024年２月29日 至 2025年２月28日
営業利益 34,219 42,615
調整額：
＋減価償却費及び償却費
818 556
(使用権資産に係る減価償却費を除く。)(注)２
±その他調整(注)２、３ 275 318
調整額小計 1,093 874
EBITDA 35,312 43,489","{'source': 'bay_ir_2025.pdf', 'chunk_index': 56}"
bay_ir_2025.pdf::chunk::57,"±その他調整(注)２、３ 275 318
調整額小計 1,093 874
EBITDA 35,312 43,489
(注) １．百万円未満は四捨五入して記載しております。
２．使用権資産に係る減価償却費については「＋減価償却費及び償却費」から除いて「±その他調整」に含めて
おります。
３．「±その他調整」は、IFRS固有の会計処理等によるものであります。
② キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報
(キャッシュ・フローの分析)
当連結会計年度のキャッシュ・フローの分析については、「(1) 経営成績等の状況の概要 ② キャッシュ・
フローの状況」に記載しております。
(資本の財源及び資金の流動性に係る情報)
(財務政策)
当社グループは、コンサルティング業界における企業間競争に対応できる企業体質の強化を図っており、今後
の事業発展を目指すため内部留保の充実に努めております。これにより、成長に向けた人材投資、設備投資並び","{'source': 'bay_ir_2025.pdf', 'chunk_index': 57}"
bay_ir_2025.pdf::chunk::58,"に株主還元等は自己資金で賄う予定であります。
株主還元については、株主の皆様に対する安定的な利益還元を経営の重要課題と考え、配当と自己株式の取得
を含めた総還元性向の目安をIFRSベースで40％とし、その内の配当性向についてはIFRSベースで20％〜30％を目
安といたします。配当及び自己株式の取得は、日本基準における分配可能額の範囲を目途にして、通期業績、財
務体質の強化、内部留保の充実等を総合的に勘案したうえで継続的に実施することを基本方針としております。
(資金調達の方法及び状況)
当社グループの持続的な成長と負債と資本の最適化を通じて、企業活動を最大化するための取組方針、資金調
達の方法及び状況につきましては、「第５ 経理の状況 １ 連結財務諸表等 (1) 連結財務諸表 連結財務諸
表注記 29．金融商品」及び「第５ 経理の状況 ２ 財務諸表等 (1) 財務諸表 注記事項 (貸借対照表関","{'source': 'bay_ir_2025.pdf', 'chunk_index': 58}"
bay_ir_2025.pdf::chunk::59,"係)４」に記載しております。
(資金の主要な使途を含む資金需要の動向)
当社グループの事業活動における運転資金需要の主なものは、当社グループコンサルタントの人件費でありま
す。また、主な設備投資需要としては、本社設備に係る固定資産投資等であります。","{'chunk_index': 59, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::60,"21/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
③ 重要な会計上の見積り及び当該見積りに用いた仮定
連結財務諸表は、「連結財務諸表の用語、様式及び作成方法に関する規則」第312条の規定によりIFRSに準拠し
て作成しております。連結財務諸表の作成に当たり、決算日における資産・負債及び連結会計年度の収益・費用
の数値に影響を与える会計上の見積りは、過去の実績等の連結財務諸表作成時に入手可能な情報に基づき合理的
に判断しておりますが、実際の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合がありま
す。連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものにつ
いては、「第５ 経理の状況 １ 連結財務諸表等 (1) 連結財務諸表 連結財務諸表注記 ４．重要な会計上
の見積り及び見積りを伴う判断」に記載のとおりであります。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 60}"
bay_ir_2025.pdf::chunk::61,"22/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
５ 【経営上の重要な契約等】
(既存借入金の借換え(リファイナンス))
当社は、2018年３月22日開催の取締役会決議に基づき、以下のとおり既存借入金の借換え(リファイナンス)を実行
いたしました。
① 目的
今回の資金の借入は、既存借入金のリファイナンス資金とし、2018年３月30日付で既存借入金残高(8,675百万円)
を一括返済することで、借入期間の変更及び金利条件の改善による安定的な財務体質の向上を図るためでありま
す。
② 借入内容
株式会社三井住友銀行をアレンジャーとするシンジケートローン契約
③ 借入先の名称
株式会社三井住友銀行、株式会社みずほ銀行、三井住友信託銀行株式会社、株式会社あおぞら銀行
④ 借入金額
8,400百万円
⑤ 実施時期
2018年３月30日
⑥ 借入期間
８年
⑦ 借入条件
基準金利＋スプレッド
⑧ 担保状況
無担保・無保証","{'source': 'bay_ir_2025.pdf', 'chunk_index': 61}"
bay_ir_2025.pdf::chunk::62,"８年
⑦ 借入条件
基準金利＋スプレッド
⑧ 担保状況
無担保・無保証
⑨ 主な借入人の義務
主な財務制限条項の内容は以下のとおりであります。
・各事業年度末における貸借対照表の純資産の部の合計金額を、直前の事業年度比75％、又は2017年２月期比
75％のいずれか高い金額以上に維持すること。
・各事業年度における経常利益を２期連続で損失としないこと。
(吸収分割契約)
(株式会社ベイカレント分割準備会社Aに対する吸収分割に係る吸収分割契約)
当社は、2024年４月17日開催の取締役会において、2024年９月１日を効力発生日として、当社が営む一切のコンサ
ルティング事業に関して有する権利義務の一部を、当社の完全子会社かつ分割準備会社として設立した株式会社ベイ
カレント分割準備会社Aに吸収分割の方法により承継させることを決議し、2024年４月17日付で、当該吸収分割に係
る吸収分割契約を締結いたしました。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 62}"
bay_ir_2025.pdf::chunk::63,"る吸収分割契約を締結いたしました。
詳細は、「第５ 経理の状況 １ 連結財務諸表等 (1) 連結財務諸表 連結財務諸表注記 ７．企業結合等」に
記載のとおりです。
(株式会社ベイカレント分割準備会社Bに対する吸収分割に係る吸収分割契約)
当社は、2024年４月17日開催の取締役会において、2024年９月１日を効力発生日として、当社のITサービス事業に
関して当社が有する権利義務の一部を、当社の完全子会社かつ分割準備会社として設立した株式会社ベイカレント分
割準備会社Bに吸収分割の方法により承継させることを決議し、2024年４月17日付で、当該吸収分割に係る吸収分割
契約を締結いたしました。
詳細は、「第５ 経理の状況 １ 連結財務諸表等 (1) 連結財務諸表 連結財務諸表注記 ７．企業結合等」に
記載のとおりです。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 63}"
bay_ir_2025.pdf::chunk::64,"23/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
６ 【研究開発活動】
該当事項はありません。","{'chunk_index': 64, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::65,"24/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
第３ 【設備の状況】
１ 【設備投資等の概要】
当連結会計年度において実施した主な設備投資は、業容の拡大に対処するため、本社事務所の改修工事等513百万円
であります。
なお、当連結会計年度において重要な設備の除却、売却等はありません。
また、当社グループは、コンサルティング事業の単一セグメントであるため、セグメント別の記載はしておりませ
ん。
２ 【主要な設備の状況】
(1) 提出会社
2025年２月28日現在
帳簿価額
事業所名 従業員数
設備の内容
(所在地) 建物 その他 合計 (名)
(百万円) (百万円) (百万円)
本社
本社事務所 4,221 1,021 5,242 593
(東京都港区)
(注) １．上記の金額には、消費税等は含まれておりません。
２．現在休止中の主要な設備はありません。
３．上記の他、賃借している主要な設備として、以下のものがあります。
事業所名
設備の内容 年間賃借料(百万円)
(所在地)
本社","{'source': 'bay_ir_2025.pdf', 'chunk_index': 65}"
bay_ir_2025.pdf::chunk::66,"事業所名
設備の内容 年間賃借料(百万円)
(所在地)
本社
本社事務所 1,946
(東京都港区)
４．従 業員数は、当社から他社への出向者を除き、他社から当社への出向者を含む就業人員数であります。
(2) 国内子会社
重要性が乏しいため、記載を省略しております。
３ 【設備の新設、除却等の計画】
(1) 重要な設備の新設等
該当事項はありません。
(2) 重要な設備の除却等
該当事項はありません。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 66}"
bay_ir_2025.pdf::chunk::67,"25/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
第４ 【提出会社の状況】
１ 【株式等の状況】
(1) 【株式の総数等】
① 【株式の総数】
種類 発行可能株式総数(株)
普通株式 260,000,000
計 260,000,000
② 【発行済株式】
事業年度末現在 提出日現在 上場金融商品取引所
種類 発行数(株) 発行数(株) 名又は登録認可金融 内容
(2025年２月28日) (2025年５月28日) 商品取引業協会名
権利内容に何ら限定のない当
東京証券取引所 社における標準となる株式で
普通株式 155,411,410 155,411,410
プライム市場 あり、単元株式数は100株で
あります。
計 155,411,410 155,411,410 ― ―
(2) 【新株予約権等の状況】
① 【ストックオプション制度の内容】
該当事項はありません。
② 【ライツプランの内容】
該当事項はありません。
③ 【その他の新株予約権等の状況】
該当事項はありません。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 67}"
bay_ir_2025.pdf::chunk::68,"該当事項はありません。
③ 【その他の新株予約権等の状況】
該当事項はありません。
(3) 【行使価額修正条項付新株予約権付社債券等の行使状況等】
該当事項はありません。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 68}"
bay_ir_2025.pdf::chunk::69,"26/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(4) 【発行済株式総数、資本金等の推移】
発行済株式 発行済株式 資本準備金 資本準備金
資本金増減額 資本金残高
年月日 総数増減数 総数残高 増減額 残高
(百万円) (百万円)
(株) (株) (百万円) (百万円)
2022年11月１日
139,870,269 155,411,410 ― 282 ― 182
(注)
(注) 株式分割(１：10)によるものであります。
(5) 【所有者別状況】
2025年２月28日現在
株式の状況(１単元の株式数100株)
単元未満
区分 政府及び 外国法人等 株式の状況
金融商品 その他の 個人
地方公共 金融機関 計 (株)
取引業者 法人 その他
団体 個人以外 個人
株主数
− 22 25 53 402 30 6,541 7,073 ―
(人)
所有株式数
− 330,115 40,824 6,972 841,175 292 334,308 1,553,686 42,810
(単元)
所有株式数
− 21.25 2.63 0.45 54.14 0.02 21.51 100.00 ―","{'source': 'bay_ir_2025.pdf', 'chunk_index': 69}"
bay_ir_2025.pdf::chunk::70,"(単元)
所有株式数
− 21.25 2.63 0.45 54.14 0.02 21.51 100.00 ―
の割合(％)
(注) 自己株式3,353,089株は、「個人その他」に33,530単元、「単元未満株式の状況」に89株含まれております。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 70}"
bay_ir_2025.pdf::chunk::71,"27/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(6) 【大株主の状況】
2025年２月28日現在
発行済株式
(自己株式を
所有株式数 除く。)の
氏名又は名称 住所
(株) 総数に対する
所有株式数
の割合(％)
日本マスタートラスト信託銀行
東京都港区赤坂１丁目８番１号 20,854,900 13.72
株式会社(信託口)
江口 新 東京都港区 15,557,140 10.23
株式会社日本カストディ銀行
東京都中央区晴海１丁目８番12号 7,807,300 5.13
(信託口)
STATE STREET BANK AND TRUST
ONE CONGRESS STREET, SUITE 1, BOSTON,
COMPANY 505001
MASSACHUSETTS 7,227,000 4.75
(常任代理人 株式会社みずほ銀
(東京都港区港南２丁目15番１号)
行決済営業部)
STATE STREET BANK AND TRUST
CLIENT OMNIBUS ACCOUNT OM02 ONE CONGRESS STREET, SUITE 1, BOSTON,
505002 MASSACHUSETTS 7,060,514 4.64
(常任代理人 株式会社みずほ銀 (東京都港区港南２丁目15番１号)
行決済営業部)
BNY GCM CLIENT ACCOUNT JPRD
PETERBOROUGH COURT 133 F LEET STREET
AC ISG (FE−AC)","{'chunk_index': 71, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::72,"行決済営業部)
BNY GCM CLIENT ACCOUNT JPRD
PETERBOROUGH COURT 133 F LEET STREET
AC ISG (FE−AC)
LONDON EC4A 2BB UNITED KINGDOM 3,802,509 2.50
(常任代理人 株式会社三菱ＵＦ
(東京都千代田区丸の内１丁目４番５号)
Ｊ銀行)
BNYM AS AGT/CLTS NON TREATY
240 GREENWICH STREET, NEW YORK, NEW YORK
JASDEC
10286 U.S.A. 3,537,973 2.33
(常任代理人 株式会社三菱ＵＦ
(東京都千代田区丸の内１丁目４番５号)
Ｊ銀行)
STATE STREET BANK AND TRUST
ONE CONGRESS STREET, SUITE 1, BOSTON,
COMPANY 505103
MASSACHUSETTS 3,403,245 2.24
(常任代理人 株式会社みずほ銀
(東京都港区港南２丁目15番１号)
行決済営業部)
萩平 和巳 東京都世田谷区 2,926,420 1.92
ＪＰモルガン証券株式会社 東京都千代田区丸の内２丁目７番３号 2,351,922 1.55
計 ― 74,528,923 49.01
(注) １．2024年２月７日付で公衆の縦覧に供されている大量保有報告書の変更報告書において、Capital Research","{'chunk_index': 72, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::73,"and Management Company及びその共同保有者であるキャピタル・インターナショナル株式会社が2024年１月
31日現在で以下の株式を所有している旨が記載されているものの、当社として2025年２月28日現在における
実質所有株式数の確認ができませんので、上記大株主の状況には含めておりません。
なお、その大量保有報告書の変更報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
Capital Research and 333 South Hope Street, Los
4,342,300 2.79
Management Company Angeles, CA 90071, U.S.A.
キャピタル・インターナショ 東京都千代田区丸の内３丁目２番３
168,600 0.11
ナル株式会社 号
計 ― 4,510,900 2.90","{'chunk_index': 73, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::74,"28/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
２．2024年３月５日付で公衆の縦覧に供されている大量保有報告書の変更報告書において、ブラックロック・
ジャパン株式会社及びその共同保有者５社が2024年２月29日現在で以下の株式を所有している旨が記載され
ているものの、当社として2025年２月28日現在における実質所有株式数の確認ができませんので、上記大株
主の状況には含めておりません。
なお、その大量保有報告書の変更報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
ブラックロック・ジャパン 東京都千代田区丸の内１丁目８番３
2,759,000 1.78
株式会社 号
オランダ王国 アムステルダム
BlackRock (Netherlands) BV 187,420 0.12
HA1096 アムステルプレイン １
BlackRock Fund Managers 英国 ロンドン市 スログモート
330,000 0.21
Limited ン・アベニュー 12
アイルランド共和国 ダブリン
BlackRock Asset Management
ボールスブリッジ ボールスブリッ 332,400 0.21
Ireland Limited
ジパーク ２ １階","{'chunk_index': 74, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::75,"BlackRock Asset Management
ボールスブリッジ ボールスブリッ 332,400 0.21
Ireland Limited
ジパーク ２ １階
米国 カリフォルニア州 サンフラ
BlackRock Fund Advisors ンシスコ市 ハワード・ストリー 1,584,300 1.02
ト 400
米国 カリフォルニア州 サンフラ
BlackRock Institutional
ンシスコ市 ハワード・ストリー 894,400 0.58
Trust Company, N.A.
ト 400
計 ― 6,087,520 3.92
３． 2024年８月７日付で公衆の縦覧に供されている大量保有報告書において、Mawer Investment Management
Ltd.が2024年７月31日現在で以下の株式を所有している旨が記載されているものの、当社として2025年２月
28日現在における実質所有株式数の確認ができませんので、上記大株主の状況には含めておりません。
なお、その大量保有報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
カナダ、アルバータ州、カルガ
Mawer Investment
リー、テンス・アベニュー・エス・ 7,906,486 5.09
Management Ltd.
ダブリュー517、スイート600","{'chunk_index': 75, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::76,"Mawer Investment
リー、テンス・アベニュー・エス・ 7,906,486 5.09
Management Ltd.
ダブリュー517、スイート600
４． 2024年９月19日付で公衆の縦覧に供されている大量保有報告書の変更報告書において、JPモルガン証券株式
会社及びその共同保有者２社が2024年９月13日現在で以下の株式を所有している旨が記載されているもの
の、当社として2025年２月28日現在における実質所有株式数の確認ができませんので、上記大株主の状況に
は含めておりません。
なお、その大量保有報告書の変更報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
東京都千代田区丸の内２丁目７番３
JPモルガン証券株式会社 258,700 0.17
号
英国、ロンドン E14 5JP カナ
J.P. Morgan Securities plc リー・ウォーフ、バンク・ストリー 1,114,004 0.72
ト25
アメリカ合衆国 ニューヨーク州
J.P. Morgan Securities LLC 10179 ニューヨーク市 マディソ 231,880 0.15
ン・アベニュー383番地
計 ― 1,604,584 1.03","{'source': 'bay_ir_2025.pdf', 'chunk_index': 76}"
bay_ir_2025.pdf::chunk::77,"ン・アベニュー383番地
計 ― 1,604,584 1.03
５． 2024年10月21日付で公衆の縦覧に供されている大量保有報告書の変更報告書において、三井住友トラスト・
アセットマネジメント株式会社及びその共同保有者である日興アセットマネジメント株式会社が2024年10月
15日現在で以下の株式を所有している旨が記載されているものの、当社として2025年２月28日現在における
実質所有株式数の確認ができませんので、上記大株主の状況には含めておりません。
なお、その大量保有報告書の変更報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
三井住友トラスト・アセット
東京都港区芝公園１丁目１番１号 4,923,100 3.17
マネジメント株式会社
日興アセットマネジメント
東京都港区赤坂９丁目７番１号 2,413,500 1.55
株式会社
計 ― 7,336,600 4.72","{'source': 'bay_ir_2025.pdf', 'chunk_index': 77}"
bay_ir_2025.pdf::chunk::78,"29/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
６．2024年10月21日付で公衆の縦覧に供されている大量保有報告書の変更報告書において、Lazard Asset
Management LLCが2024年10月15日現在で以下の株式を所有している旨が記載されているものの、当社として
2025年２月28日現在における実質所有株式数の確認ができませんので、上記大株主の状況には含めておりま
せん。
なお、その大量保有報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
アメリカ合衆国ニューヨーク州
Lazard Asset Management
ニューヨーク市ロックフェラープラ 6,235,200 4.01
LLC
ザ30番地
７． 2024年12月６日付で公衆の縦覧に供されている大量保有報告書の変更報告書において、FMR LLC及びその共
同保有者であるNational Financial Services LLCが2024年11月29日現在で以下の株式を所有している旨が
記載されているものの、当社として2025年２月28日現在における実質所有株式数の確認ができませんので、
上記大株主の状況には含めておりません。","{'chunk_index': 78, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::79,"上記大株主の状況には含めておりません。
なお、その大量保有報告書の変更報告書の内容は以下のとおりであります。
保有株券等の数 株券等保有割合
氏名又は名称 住所
(株) (％)
米国 02210 マサチューセッツ州ボ
FMR LLC 11,547,634 7.43
ストン、サマー・ストリート245
米国 02210 マサチューセッツ州ボ
National Financial
ストン、シーポート・ブルバード 4.27 0.00
Services LLC
200
計 ― 11,547,638.27 7.43","{'chunk_index': 79, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::80,"30/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(7) 【議決権の状況】
① 【発行済株式】
2025年２月28日現在
区分 株式数(株) 議決権の数(個) 内容
無議決権株式 ― ― ―
議決権制限株式(自己株式等) ― ― ―
議決権制限株式(その他) ― ― ―
完全議決権株式(自己株式等) 普通株式 3,353,000 ― ―
権利内容に何ら限定のない当社
普通株式 における標準となる株式であ
完全議決権株式(その他) 1,520,156
152,015,600 り、単元株式数は100株でありま
す。
普通株式
単元未満株式 ― ―
42,810
発行済株式総数 155,411,410 ― ―
総株主の議決権 ― 1,520,156 ―
(注) 「単元未満株式」欄の普通株式には、当社所有の自己株式89株が含まれております。
② 【自己株式等】
2025年２月28日現在
発行済株式
自己名義 他人名義 所有株式数
総数に対する","{'source': 'bay_ir_2025.pdf', 'chunk_index': 80}"
bay_ir_2025.pdf::chunk::81,"2025年２月28日現在
発行済株式
自己名義 他人名義 所有株式数
総数に対する
所有者の氏名又は名称 所有者の住所 所有株式数 所有株式数 の合計
所有株式数
(株) (株) (株)
の割合(％)
東京都港区麻布台一丁目
株式会社ベイカレント 3,353,000 − 3,353,000 2.16
３番１号
計 ― 3,353,000 − 3,353,000 2.16","{'chunk_index': 81, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::82,"31/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
２ 【自己株式の取得等の状況】
【株式の種類等】 会社法第155条第３号に該当する普通株式の取得、会社法第155条第７号に該当する
普通株式の取得及び会社法第155条第13号に該当する普通株式の取得
(1) 【株主総会決議による取得の状況】
該当事項はありません。
(2) 【取締役会決議による取得の状況】
区分 株式数(株) 価額の総額(円)
会社法第370条及び当社定款第26条(2024年４月12日)
に基づく決議状況 1,200,000 3,600,000,000
(取得期間 2024年５月１日〜2024年５月24日)
当事業年度前における取得自己株式 ― ―
当事業年度における取得自己株式 1,061,700 3,599,769,900
残存決議株式の総数及び価額の総額 138,300 230,100
当事業年度の末日現在の未行使割合(％) 11.5 0.0
当期間における取得自己株式 ― ―
提出日現在の未行使割合(％) 11.5 0.0","{'chunk_index': 82, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::83,"当期間における取得自己株式 ― ―
提出日現在の未行使割合(％) 11.5 0.0
区分 株式数(株) 価額の総額(円)
会社法第370条及び当社定款第26条(2025年４月10日)
に基づく決議状況 470,000 3,000,000,000
(取得期間 2025年５月１日〜2025年５月23日)
当事業年度前における取得自己株式 ― ―
当事業年度における取得自己株式 ― ―
残存決議株式の総数及び価額の総額 ― ―
当事業年度の末日現在の未行使割合(％) ― ―
当期間における取得自己株式 ― ―
提出日現在の未行使割合(％) 100.0 100.0
(注) 当期間における取得自己株式には、2025年５月１日からこの有価証券報告書提出日までの取得株式数は含まれ
ておりません。
(3) 【株主総会決議又は取締役会決議に基づかないものの内容】
区分 株式数(株) 価額の総額(円)
当事業年度における取得自己株式 122 581,640
当期間における取得自己株式 ― ―","{'chunk_index': 83, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::84,"当事業年度における取得自己株式 122 581,640
当期間における取得自己株式 ― ―
(注) 当期間における取得自己株式には、2025年５月１日からこの有価証券報告書提出日までの単元未満株式の買取
りによる株式及び無償取得による譲渡制限付株式は含まれておりません。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 84}"
bay_ir_2025.pdf::chunk::85,"32/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(4) 【取得自己株式の処理状況及び保有状況】
当事業年度 当期間
区分
処分価額の総額 処分価額の総額
株式数(株) 株式数(株)
(円) (円)
引き受ける者の募集を行った
― ― ― ―
取得自己株式
消却の処分を行った取得自己株式 ― ― ― ―
合併、株式交換、株式交付、
会社分割に係る移転を行った ― ― ― ―
取得自己株式
その他(譲渡制限付株式の付与) 336,697 860,597,532 ― ―
保有自己株式数 3,353,089 ― 3,353,089 ―
(注) 当期間における保有自己株式数には、2025年５月１日からこの有価証券報告書提出日までの会社法第370条によ
る取得自己株式、単元未満株式の買取りによる株式及び無償取得による譲渡制限付株式は含まれておりませ
ん。
３ 【配当政策】
当社は、株主の皆様に対する安定的な利益還元を経営の重要課題と考え、配当と自己株式の取得を含めた総還元性","{'chunk_index': 85, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::86,"向の目安をIFRSベースで40％とし、その内の配当性向についてはIFRSベースで20％〜30％を目安といたします。配当
及び自己株式の取得は、日本基準における分配可能額の範囲を目途にして、通期業績、財務体質の強化、内部留保の
充実等を総合的に勘案したうえで継続的に実施することを基本方針としております。
当社の剰余金の配当は、中間配当と期末配当の年２回を基本的な方針としております。剰余金の配当等会社法第459
条第１項各号に定める事項につきましては、当社定款第40条に基づき、法令に別段の定めのある場合を除き、株主総
会の決議によらず取締役会の決議により定めることができるとしております。当期の配当につきましては、１株当た
り62.00円(うち、中間配当25.00円)となりました。
なお、当事業年度に係る剰余金の配当は以下のとおりであります。
配当金の総額 １株当たり配当額
決議年月日
(百万円) (円)
2024年10月10日
3,801 25.00
取締役会決議(注)
2025年４月10日
5,626 37.00
取締役会決議(注)","{'source': 'bay_ir_2025.pdf', 'chunk_index': 86}"
bay_ir_2025.pdf::chunk::87,"取締役会決議(注)
2025年４月10日
5,626 37.00
取締役会決議(注)
(注) 会社法第370条及び当社定款第26条により、剰余金の配当を行うことについて決議しております。","{'chunk_index': 87, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::88,"33/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
４ 【コーポレート・ガバナンスの状況等】
(1) 【コーポレート・ガバナンスの概要】
① コーポレート・ガバナンスに関する基本的な考え方
当社は、継続的に企業価値を向上させ、株主、取引先及び従業員等のステークホルダーに対して社会的な責任
を遂行するためには、経営の健全性、効率性及び透明性が不可欠であると認識しており、内部統制の整備・運用
及びリスク管理の徹底により、コーポレート・ガバナンスの強化に努めてまいります。
② 企業統治の体制及び内部統制システムの整備の状況
イ．会社の機関の基本説明及び当該体制を採用する理由
当社は、2023年５月26日開催の第９回定時株主総会において、監査等委員会設置会社への移行等を目的とす
る定款の変更が決議されたことにより、当社は同日付をもって監査役会設置会社から監査等委員会設置会社へ","{'chunk_index': 88, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::89,"と移行しております。この移行は、取締役の職務執行の監査等を担う監査等委員を取締役会における議決権を
有する構成員とすることにより、取締役会の監督機能を強化し、更なる監視体制の強化を通じて、より一層の
コーポレート・ガバナンスの充実を図ることを目的としております。現時点におきましては、全員が社外取締
役である監査等委員により構成される監査等委員会によって監査を実施する当該方式のもと、実効性のあるガ
バナンスを実現できることから、当該体制を採用しております。
ａ．取締役会
当社は、取締役会設置会社であり、取締役会は、議長である取締役会長 阿部義之、代表取締役社長 北
風大輔、代表取締役副社長 池平謙太郎、取締役 中村公亮、社外取締役 小路敏宗、社外取締役 佐藤真","{'source': 'bay_ir_2025.pdf', 'chunk_index': 89}"
